username,tweet_raw,cluster,topik_dominan
RadioElshinta,"Tingginya harga dolar mulai dirasakan dampaknya, setelah kenaikan BI rate menjadi 5,50 bps, mulai hari ini harga bbm non subsidi jenis pertamax (RON 92) naik dari Rp12.300 menjadi Rp16.250 per liter dan Pertamax Green 95 (RON 95) naik dari Rp12.900 menjadi Rp17.000 per liter. https://t.co/CQ6VZ1PR1T",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
alfariz861,"@indepenSumatera Dari awal BBM non subsidi kan ngikuti pasar minyak dunia. Selama pertalite belum naik, kegilaan itu mungkin baru melanda sebagian orang. Para pemakai pertalite akan tetep antri sesuai urutan seperti biasa, sambil ngliat barisan pertamax makin sepi antrianya.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
ndorokakung,"Mulai hari ini, 10 Juni 2026, harga BBM non-subsidi Pertamax (RON 92) naik dari Rp12.300 menjadi Rp16.250 per liter dan Pertamax Green 95 (RON 95) naik dari Rp12.900 menjadi Rp17.000 per liter.

Baiklah 🫣",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
ndrer,"Harga BBM non-subsidi naik.
Harga barang impor naik karena dolar naik.
Banyak SPPG distop pembayarannya.
Banyak pemda gagal bayar PPPK karena anggaran dipangkas.

Economic shock + austerity. Brace for impact, fren.",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
Tangankanancuan,"BERITA HOT BBM PERTAMINA NAIK.
SIAP-SIAP! HARGA PERTAMAX MELOMPAT JAUH HARI INI 🚨

Jangan kaget pas masuk SPBU pagi ini, guys. Per Rabu, 10 Juni 2026, Pertamina resmi melakukan penyesuaian harga BBM non-subsidi, dan kenaikannya bener-bener di luar ramalan.
Gak tanggung-tanggung, https://t.co/8F2gOG6AOn",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
NeoHideyoshi,"Syukurlah pas Balik dari perjalanan 2 hari lalu ngisi full Pertamax dan tadi malam sudah naik 😏. 

Oh ya, sedikit sharing saja guys. 

Perbedaan Pertamax vs BBM Bersubsidi

​Perbedaan utama terletak pada siapa yang menanggung fluktuasi harga minyak dunia dan untuk siapa BBM",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
karirfess,"""Pertamax naik ga ngaruh juga kali.. kehidupan kita, orang itu BBM nya orang kaya""

Teruntuk kamu yg punya opini seperti ini, silakan baca sampai habis ya.

✅ Efek Kenaikan Harga Pertamax Jadi Rp16.250 per Liter ke Seluruh Lapisan Masyarakat

Harga Pertamax (RON 92) naik dari https://t.co/IOKytnHP22",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
Enimarf,"Resmi! Harga BBM Pertamax Naik Jadi Rp 16.250/Liter Mulai 10 Juni 2026

 Dengan perubahan harga pada 10 Juni 2026, artinya ini penyesuaian kali kedua di bulan Juni 2026 untuk harga BBM non subsidi Pertamina, setelah sebelumnya harga baru berlaku per 1 Juni 2026. https://t.co/rU2zUqOqg2",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
antropolohis,@Brokenbtch2 Ternyata BBM non-subsidi juga naik 😂 berhasil gess pengalihan isunya,0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
icharis,"Bangun tidur pagi ini berasa langsung dapet nightmare. Baru melek, buka berita, dan BOOM: Pertamax resmi naik jadi Rp16.250/liter per hari ini, 10 Juni 2026. Tahun ini benar-benar dibuka dengan ujian kelayakan hidup buat warga kelas menengah. 😭💸

Sambil meratapi nasib, mari",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
RadioElshinta,"Setelah kemarin BI rate naik menjadi 5,50 BPS, mulai hari ini harga BBM non subsidi jenis Pertamax (RON 92) naik dari Rp12.300 menjadi Rp16.250 per liter dan Pertamax Green 95 (RON 95) naik dari Rp12.900 menjadi Rp17.000 per liter. Apa dampaknya bagi masyarakat dan perekonomian https://t.co/degPdesLbx",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
SerieA_Lawas,"Breaking news!! 

PT. Pertamina Patra Niaga melakukan penyesuaian harga BBM Non Subsidi. 

Pertamax naik menjadi 16.250.

Pertamax Green menjadi 17.000.

Semangat pagi, warganya Prabowo! https://t.co/m4jQ1OokIm",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
kumparan,"Pertamina Patra Niaga menaikkan harga BBM non-subsidi jenis Pertamax dan Pertamax Green mulai 10 Juni 2026. Harga Pertamax (RON 92) naik dari Rp12.300 menjadi Rp16.250 per liter, sementara Pertamax Green 95 (RON 95) naik dari Rp12.900 menjadi Rp17.000 per liter.

Sekretaris https://t.co/i1VqCTj78r",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
SiPalingDepok,"Bangun tidur ada berita Pertamina menaikkan harga BBM non subsidi Pertamax dan Pertamax Green😱😱

Pertamax dari Rp 12.300 jadi Rp 16.250 per liter. 

Pertamax Green naik jadi Rp 17.000 per liter, dari Rp 12.900 per liter.

Padahal listrik dan PAM udah naik😭😭😭😭 https://t.co/7MO1Fqwmu8",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
nellyaul,"Ini tuh bukan perkara yang naik cuma BBM non subsidi. Tapi seperti yang kita tahu, kalau harga udah bertahap naik seperti ini, harga yang lain-lain pun pasti merangkak ikut naik.

Makin kenceng ikat pinggangnya. Kebutuhan sekunder dan gaya-gayaan ditunda dulu. Gak tau ekonomi ke",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
sharpandshark,"Solusi alternatif untuk menghemat isi dompet dari tingginya biaya BBM non-subsidi dalam jangka pendek.
​Ada strategi terbaik yang bisa Anda kombinasikan mulai minggu ini adalah:

1. ​Peralihan Total (Jika Rute Mendukung)‼️
Beralih ke KRL, MRT, LRT, atau Transjakarta. Jika rumah",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
IPBbercanda,"gaes katanya bbm non subsidi naik cuma wilyaha jabodetabek, Wilayah banten naik gak pertamaxnya? gw pengen isi full tank nih balik dari UTS kalo di banten kaga naik 😭😭 https://t.co/UgDjyhHIuz",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
RadioElshinta,"Pertamina Patra Niaga melakukan penyesuaian harga jual BBM non subsidi untuk produk Pertamax dan Pertamax Green.

Mulai hari ini, Rabu 10 Juni, harga Pertamax (RON 92) naik menjadi Rp 16.250/liter, dan Pertamax Green naik menjadi Rp 17.000/liter. Sebelumnya harga Pertamax di Rp https://t.co/FEGWsEmFmT",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
demeter_mr,"Kemarin gue udh nyiapin satu twit buat pagi ini bunyinya

“Sebutkan satu hal yang bikin badmood pagi ini…”

Ternyata gue sendiri udah badmood duluan sepagi buta gini baca berita BBM non subsidi naik",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
sentasticker,good morning🥰 bbm non subsidi udah naik🥰 siapa bilang rakyat ga pake dollar🥰siap siap abis ini bahan pokok juga naik lagi🥰 https://t.co/3cuAk2EVrJ,0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
YogyakartaCity,"PT Pertamina resmi menaikkan harga BBM non subsidi Pertamax (RON 92) mulai Rabu, 10 Juni 2026. Berdasarkan situs PT Pertamina Patra Niaga, di DKI Jakarta dan sekitarnya harga Pertamax dibanderol Rp 16.250 per liter, naik dari sebelumnya Rp 12.300 per liter.
Kenaikan harga juga https://t.co/CxlibeRsk0",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
sharpandshark,"Kenaikan harga BBM non-subsidi per 10 Juni 2026 memang cukup signifikan. Harga Pertamax (RON 92) melesat naik menjadi Rp 16.250 per liter (naik dari Rp 12.300), sedangkan Pertamax Green 95 (RON 95) naik menjadi Rp 17.000 per liter (naik dari Rp 12.900).

​Kenaikan ini otomatis",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
diplomatsehat,"Selamat pagi Morning Person 

Hari ini, Rabu 10 Juni resmi BBM non-subsidi naik. https://t.co/cYHSRdEV4w",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
Hidupsebagai62,"BREAKING NEWS !!!
HARGA PERTAMAX MELEDAK! 
NAIK RP 3.950 DALAM SEMALAM
ATAU SEKITAR 32.1% CUY !!!

ESTIMASI 25-35 JUTA ORANG TERDAMPAK !!!
DITENGAH HARGA MINYAK DUNIA YANG MULAI TREND TURUN?

ADA APA SEBENARNYA?

Pertamax RON 92 naik Rp 3.950 per liter dari Rp 12.300 menjadi Rp https://t.co/AG9FtLhw9S",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
narkosun,"PT Pertamina (Persero) melakukan penyesuaian harga BBM non subsidi untuk Pertamax dan Pertamax Green per Rabu (10/6/2026).

Jika sebelumnya harga Pertamax (RON 92) Rp12.300, kini naik menjadi Rp16.250 per liter. 

Sementara itu, Pertamax Green (RON 95) naik menjadi Rp17.000 per",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
sukaaabougenvil,"@cursedkidd menurutku kalau yang naik bbm non subsidi sih masih cukup wajar ya. kayak pertamax memang mengikuti kondisi pasar juga kan karna dolar menguat, harga minyak dunia jg naik, biaya impor meningkat. yah yang penting bbm subsidi (pertalite) tetap harga nya dan di pastikan buat",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
TempeXBT,"RESMI:

Harga BBM naik per 10 Juni 2026!

Kenapa pengumuman naiknya selalu terjadi di tengah malem saat warga masyarakat tidur? Biar kaget gitu kah pas rakyat bangun pagi trus harga udah naik?

Inget kejadian tahun 2022 ga? Awal mula ya BBM non subsidi duluan yg naik, tapi https://t.co/Qqm1oasjPa",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
netizenviral_,"PT Pertamina resmi menyesuaikan harga BBM non-subsidi yang mulai berlaku pada 10 Juni 2026. Dalam penyesuaian terbaru ini, harga Pertamax (RON 92) naik dari Rp12.300 menjadi Rp16.250 per liter, sementara Pertamax Green (RON 95) turut mengalami kenaikan dari Rp12.900 menjadi https://t.co/y5vNBXmuow",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
pararealmen,"⚡️Harga PERTAMAX Naik 32,1%⚡️
📜PT Pertamina resmi menaikkan harga dua jenis Bahan Bakar Minyak (BBM) non subsidi mulai 10 Juni 2026.
Berdasarkan situs PT Pertamina Patra Niaga, Pertamina menaikkan harga BBM non subsidi Pertamax (RON 92) dan Pertamax Green (setara RON 95) mulai https://t.co/4gX2ZBkk89",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
netizenviral_,"PT Pertamina resmi menaikkan harga dua jenis Bahan Bakar Minyak (BBM) non subsidi mulai 10 Juni 2026.

Berdasarkan situs PT Pertamina Patra Niaga, Pertamina menaikkan harga BBM non subsidi Pertamax (RON 92) dan Pertamax Green (setara RON 95) mulai Rabu, 10 Juni 2026.

Di DKI https://t.co/qhFpbSJGHM",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
kopnesiaID,"Ada saja gebrakan dari pemerintah😩. Pemerintah tadi malam mengumumkan kenaikan harga BBM non subsidi Pertamax (RON 92). Pantes Pertamax swasta akhir-akhir ini stock kosong 😢

Daftar Harga BBM Terkini Pertamina (Berlaku 10 Juni 2026)

1. Solar Subsidi → Rp6.800/liter (tetap) https://t.co/eLc4qpfIWG",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
fyiajaa,"Ini dampak nya bisa ngeri bangett, masyarakat menengah yang biasanya isi bbm non subsidi jadi beralih ke pertalite. 

ujung ujungnya Pertalite langka, nah kalo sampe kejadian langka bbm bisa bikin efek berantai ke semua harga kebutuhan pokok, naik dah tuh harga harga

gws WNI https://t.co/5a7dYl8Phe",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
kabarnamdua,"DORR! HARGA PERTAMAX JADI Rp16.250/LITER, BBM NON-SUBSIDI RESMI NAIK GILA-GILAAN MULAI HARI INI!

1. Pertamax (RON 92) → Rp16.250/liter  (NAIK Rp3.950 dari Rp12.300)

2. Pertamax Green 95 → Rp17.000/liter  (NAIK Rp4.100 dari Rp12.900) https://t.co/kLxFSPhAsQ",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
auteza12,"Balik lagi kata Pak Purbaya, kalo urusan subsidi pertalite dkk dia bilang gak naik.

Tapi untuk bbm non subsidi aka Pertamax dll dia gatau soalnya bukan dia yang ngurusin 😅 berarti juga udah dikasih clue bakalan naik, tapi kan gak tiba-tiba tengah malem juga kali.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
creeping5ilence,"Nah..nah.. akhirnya naik juga !! 😃

PT Pertamina (Persero) menaikkan harga bahan bakar minyak (BBM) non-subsidi jenis Pertamax dan Pertamax Green per hari ini, Rabu (10/6/2026)

- Pertamax: Rp12.300 ➡️ Rp16.250 (naik Rp3.950 per liter)
- Pertamax Green: Rp12.900 ➡️ Rp17.000 https://t.co/tMMSTQ9v6U",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
chinamoure,"@bersuwara_ bbm non subsidi naiknya ga ngotak, giliran yang subsidi ga naik samsek. apa maksud jirrrr, biar ga kena demo kahhh???? akal-akalan rezim anti kritik.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
Yuniar_Indra_P,"@idextratime Nanti bakal ada narasi 
.
""Kan yang naik non subsidi, tidak ada sangkut pautnya dengan kenaikan harga bahan pokok, ini supaya BBM subsidi tepat sasaran""
.
HALAH JEMBOOOT https://t.co/Fyg4TwnH3P",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
0xrizaldi,"🚨 Harga BBM Pertamina Naik Hari Ini!

PT Pertamina menyesuaikan harga BBM non-subsidi per Rabu, 10 Juni 2026:

✅ Pertamax (RON 92): dari Rp12.300 → Rp16.250/liter (naik Rp3.950)
✅ Pertamax Green (RON 95): dari Rp12.900 → Rp17.000/liter (naik Rp4.100)

Penyesuaian ini hanya https://t.co/BDE6vLDBOf",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
indepenSumatera,"GILA! PERTAMAX MELEDAK JADI Rp16.250/LITER, BBM NON-SUBSIDI RESMI NAIK GILA-GILAAN MULAI HARI INI WAK 

Daftar Harga BBM Terkini Pertamina (Berlaku 10 Juni 2026)

1. Solar Subsidi → Rp6.800/liter (tetap)

2. Pertalite (RON 90) → Rp10.000/liter (tetap)

3. Pertamax (RON 92) → https://t.co/gwCulMhdPN",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
ferizandra,"Resmi! Harga BBM Pertamax Naik Jadi Rp 16.250/Liter Mulai 10 Juni 2026...

PT Pertamina resmi menaikkan harga dua jenis Bahan Bakar Minyak (BBM) non subsidi mulai 10 Juni 2026...

Berdasarkan situs PT Pertamina Patra Niaga, Pertamina menaikkan harga BBM non subsidi Pertamax (RON https://t.co/nF5fZq9R47",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
kompascom,"PT Pertamina (Persero) melakukan penyesuaian harga BBM non subsidi untuk Pertamax dan Pertamax Green per Rabu (10/6/2026).

Jika sebelumnya harga Pertamax (RON 92) Rp 12.300, kini naik menjadi Rp 16.250 per liter. 

Sementara itu, Pertamax Green (RON 95) naik menjadi Rp 17.000 https://t.co/yWyqklaSXn",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
tribunpontianak,"Resmi Naik! Harga Terbaru BBM Pertamina Non-Subsidi Pertamax dan Pertamax Green Mulai 10 Juni 2026

Baca: https://t.co/Dd30yFJ4lw",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
Ikhwanazis89,"@xdent_s Penyebabnya: Mulyono cabut subsidi BBM dan listrik yg bikin harga barang naik signifikan.
Gaji starter UMR buat lulusan S1 zaman SBY was too low but now it is privilege.

Zaman Mulyono, pengusaha non oligarki gak dapat insentif apa2 selain bisa kasih gaji kecil ke karyawan.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
BosPurwa,"DAMPAK KURS DOLAR TEMBUS RP 18.000

1. Harga kebutuhan sehari-hari naik
Dolar mahal bikin impor bahan pangan, obat, dan barang harian ikut mahal. Meja makan kena; beras, minyak, mie instan, roti, daging, susu, tahu, tempe, telor dll bakal naik pelan tapi pasti.

2. Ongkos hidup https://t.co/Ouq9WnmQ30",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
NarasiVisual,"Tersangka 1: perang di Selat Hormuz.

Konflik Timur Tengah ganggu pasokan minyak &amp; gas dunia. Harga minyak (Brent) sempat tembus US$124 di April.

Korbannya: BBM non-subsidi, LPG 12 kg (naik 18,75% jadi Rp228 ribu), dan pupuk non-subsidi (harga urea global nyaris 2x lipat).￼",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
txtfrwho,"@BapakKerja Chatib Basri kyknya identik dgn menteri / teknokrat yg beres beres &amp; economic problem solver. Menarik buat gw pribadi.

Di BKPM dulu doi beresin gimana tata kelola &amp; keruwetan birokrasi OSS (ora sampun-sampun) nya BKPM. Mulai dri akses info, investor relation unit dst

2013, jdi",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
direktoridosen,"harga barang yang berpotensi naik,
efek 1 $USD = Rp.18.000

tapi tenang sobat, tidak akan ada demo. selama bbm tdk di naikkan harganya. @prabowo tau banget soal ini.

1). Mi instan
2). Tahu dan tempe
3). Tepung terigu
4). Roti dan kue
5). Smartphone / Handphone
6). Laptop dan",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
RagaSukma_1,"@KapudS640 Percaya
Pelanggan listrik kan seperti BBM ada cluster subsidi dan non subsidi
Yang non subsidi pasti naik 
PAM naik juga percaya karena biaya listrik untuk pengolahan air baku pastinya juga naik",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
trisetyarso,https://t.co/9qrOl0q2db,2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
sharpandshark,"Fenomena beralihnya minat masyarakat ke mobil LCGC (Low Cost Green Car) di tengah melesatnya harga BBM diesel non-subsidi (seperti Dexlite dan Pertamina Dex) adalah respons logis yang murni didasari oleh perhitungan matematika dompet.

​Ketika harga Dexlite menyentuh kisaran",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
ipnkst,"Serius nanya apa pencapaian nya? 🤔🤔

Rangkuman berita yg aku baca :
- Dolar AS tembus Rp 17.900
- Kebutuhan pokok naik
- PHK merajalela
- Kriminalitas meningkat
- Juli ini jatuh tempo utang Rp 833 T
- Total utang Rp 9.920 T
- Bunga utang Rp 599 T
- IHSG anjlok ke 6.370
- Harga",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
buzuzima0,"3/4 DAMPAK KE RAKYAT NYATA:

• BBM non-subsidi naik — solar Rp16.800/liter, Pertamax Rp14.500
• Harga bahan pangan impor (gandum, kedelai) naik 8-15%
• Cicilan KPR naik — suku bunga acuan masih tinggi
• Gaji nggak naik — inflasi rendah tapi daya beli makin tipis
• Biaya",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
Tangankanancuan,"Serius nanya apa pencapaian nya? 🤔🤔

Rangkuman berita yg aku baca :
- Dolar AS tembus Rp 17.741
- Kebutuhan pokok naik
- PHK merajalela
- Kriminalitas meningkat
- Juli ini jatuh tempo utang Rp 833 T
- Total utang Rp 9.920 T
- Bunga utang Rp 599 T
- IHSG anjlok ke 6.370
- Harga https://t.co/pexBzZib2A",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
txtpersahaman,"Pencapaian WOWOK (yang sebenarnya):
Dolar AS tembus Rp 17.741
Kebutuhan pokok naik
PHK merajalela
Kriminalitas meningkat
17 Juli jatuh tempo utang Rp 833 T
Total utang Rp 9.920 T
Bunga utang Rp 599 T
IHSG anjlok ke 6.370
Harga plastik naik diatas 100%
Gas LPG non-subsidi naik 18% https://t.co/wqQmKcepYb",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
WeKa_Ronin,"BOCOR...

Rupiah Jebol Menuju 17.760 per USD (Devaluasi Nyata)

​Grafik satu bulan terakhir menunjukkan tren naik yang tidak terbendung dari kisaran Rp17.200 di awal Mei, langsung menanjak tajam ke Rp17.760.

​Bocornya Cadangan Devisa: Angka ini adalah alarm keras bahwa https://t.co/8bHDR7ZzDd",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
AvelinoGuido28,"Ringkasan buat yang males baca panjang:
Perang pecah Februari → Selat Hormuz ditutup → harga minyak dunia naik 70% → BBM non-subsidi RI naik 3 kali dalam 3 bulan → Pertamax Turbo naik 50% → rupiah tembus Rp 17.700 → anggaran subsidi negara jebol dari perhitungan awal",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
AvelinoGuido28,"Oke sekarang ke bagian yang langsung nyentuh kehidupan kita.
Kenapa urusan selat kecil di ujung Timur Tengah sana bisa bikin harga BBM kita di sini ikut naik?
Sekitar seperlima dari seluruh pasokan minyak dunia melewati Selat Hormuz setiap harinya. Setiap gangguan di sana",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
Furqanjurdi1,"@99propaganda @iwanpiliang7 Beras tersedia, harga 16-18 ribu perkilo: punya uang lu buat beli? Kalau prabowo tentu bisa beli.
BBM tidak langka? Harga BB Non subsidi naik berlipat2, sementara yang subsidi tersedia hanya sampe jam 9 malam.
Pasar masih buka, tapi nilai IHSG anjlok. Pengusaha pada lari.
Petani",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
Furqanjurdi1,"Beras tersedia, harga 16-18 ribu perkilo: punya uang lu buat beli? Kalau prabowo tentu bisa beli.
BBM tidak langka? Harga BB Non subsidi naik berlipat2, sementara yang subsidi tersedia hanya sampe jam 9 malam.
Pasar masih buka, tapi nilai IHSG anjlok. Pengusaha pada lari.
Petani",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
kebajikanatas,"CUMA MAU KASIH TAU:

1. dolar as tembus rp 17.700  
2. ihsg ambles ke 6723  
3. total utang ri rp 9920 T  
4. bunga utang 2026 Rp 599 T 
5. msci dan ftse keluarin saham hsc  
6. asing jualan dari awal tahun Rp 49,03 T  
7. bbm non subsidi naik 40-60%  
8. aib pemerintah jadi",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
buleariief,"Selamat pagi guysss,selamat beraktivitas ya jangan lupa sarapan secukup nya.

Harga BBM naik tinggi yg non subsidi, apakah hrg BBM yg bersubsidi akan naik juga kah? Kita tunggu jawaban dri pangeran selat hormuz.
BBM paling banyak terbuang sia sia krn macet😔 https://t.co/93THpXFxdc",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
kangdede78,"Akun @direktoridosen menyusun 50 poin soal pelemahan Rupiah sbg “bencana total” yg katanya merembet ke desa, nelayan, petani, buruh, guru, &amp; dosen. Narasi itu emosional, tapi berlebihan, parsial, dan mengabaikan konteks ekonomi global.

Pelemahan mata uang bukan “racun” mutlak.",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
Hidupsebagai62,"ANALISA KEEKONOMIAN SPBU AKTIF HARGA AKUISISI 27 MILIAR

BISA UNTUNG 3X LIPAT DARI MODAL AWAL !!

ASETNYA : 
Lahan 3.760 m2 SHM — aset tanah yang secara historis selalu naik minimal 8-10% per tahun. 
Ini bukan beban, ini investasi tersembunyi.

5 tangki pendam kapasitas 15.000 https://t.co/jAF6m3r4oK",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
kangdede78,"@mazriva Harga naik memang terasa, terutama BBM non-subsidi. Makanya pemerintah genjot koperasi desa (baru 1.061 diresmikan) &amp; swasembada energi biar ketergantungan impor turun. 
Solusi jangka panjang lagi dibangun. Sabar &amp; dukung yuk!",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
bukanpamanmu,https://t.co/k99LpzdT0Y,2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
Lanun_1017,"@kompascom Besiaplah untuk hal yg terburuk, jika dolar tembus 18 rbu dan diprediksi bisa naik ke 22 rbu krna belanja konsumtif pemerintah yg menjadi salah satu variabel inflasi.
Kenaikan BBM non subsidi akan memicu kenaikan biaya oprasional dan bahan pangan ....
@prabowo 
@DPR_RI https://t.co/RE5ITiCxLK",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
rouppme,"@CB5 @satriohendri Nah Pak @satriohendri ini aspirasi petani bisa juga dibahas. 

- pestisida naik
- pupuk non subsidi naik 
- mulsa plastik naik
- bbm bahan bakar sprayer mesin naik.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
ferizandra,"Membedah pidato presiden yang mengatakan bahwa rakyat di desa gak pake Dolar, maka gak terdampak (naiknya kurs Dolar)...

1. EFEK DOMINO INFLASI BARANG IMPOR
Meskipun bertransaksi dengan Rupiah, banyak barang konsumsi atau bahan baku diimpor menggunakan Dolar AS... ketika Rupiah https://t.co/WSfEl9Dui3",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
LambeSahamjja,"Guys, Prof. Telisa Aulia Falianty dari UI baru bicara sesuatu yang penting banget soal rupiah Rp17.500 — dan ada satu kalimat yang langsung bikin gue terdiam.

""Krisis takes much longer to come than you think. Tapi begitu datang, 
it happens much faster 
than you would have https://t.co/r2C4R3b975",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
ireallylvyou,"@Boediantar4 ""yg naiikkn bbm non subsidi"" kata org2 yg nganggep gpp pertamax naik, kan yg make kaum atas wkwk",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
arifin34533,"BBM non subsidi naik, BBM subsidi terbatas , minyak goreng naik, Sembako naik.
Sudah begini mau bagaimana?
https://t.co/bS9iCVzWUA",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
celujrit,"Harga BBM Non Subsidi Naik, Ekonom UGM: Wajar Ikuti Harga Minyak Dunia
https://t.co/FHTdoiC2UJ",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
Seputar_Energi_,"Harga BBM Non Subsidi Naik, Ekonom UGM: Wajar Ikuti Harga Minyak Dunia

https://t.co/ztKN265pmy https://t.co/ipRaBjEDPu",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
InfoJktCom,"Harga BBM Non Subsidi Naik, Ekonom UGM: Wajar Ikuti Harga Minyak Dunia

https://t.co/lKwp8ak9ZM https://t.co/2AzQzsJAP8",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
katakangparkir,"@dixatakan @scolpioX Masyarakat bawah sebenernya udah merasakan, kelonjakan harga ugal2an di sisi yg gak kita duga, seperti plastik naik dan buah2an. Skrg BBM non subsidi juga naik. Masyarakat ngeluh, tapi ntah kenapa masih gak ada pergerakan apa2",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
inong911,"@Dara_Cega @KakekHalal BBM Subsidi nggak naik tapi barangnya nggak ada, finalnya beli yang non subsidi 😩 
@prabowo @setkabgoid @habiburokhman",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
kompascom,"Baca di sini:
https://t.co/ErHrXIdmYf

Di tengah naiknya harga BBM non-subsidi Mei 2026, harga ban motor dari berbagai merek juga mengalami penyesuaian dan naik hingga Rp 100.000.

~NA #BanMotor #BBM #KenaikanHarga https://t.co/QMRag5V5wp",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
KompasOtomotif,"Baca di sini:
https://t.co/OZ21bqo4cZ

Di tengah naiknya harga BBM non-subsidi Mei 2026, harga ban motor dari berbagai merek juga mengalami penyesuaian dan naik hingga Rp 100.000.

~NA #BanMotor #BBM #KenaikanHarga https://t.co/FyhBvfP17e",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
